,artistName,trackName,audioType,msPlayed,inLibrary
267,Armchair Expert with Dax Shepard,EXPERTS ON EXPERT: Pete Carroll,Podcast,774543,False
268,Armchair Expert with Dax Shepard,EXPERTS ON EXPERT: Sam Harris,Podcast,6925211,False
269,Armchair Expert with Dax Shepard,EXPERTS ON EXPERT: Sanjay Gupta,Podcast,3034448,False
270,Armchair Expert with Dax Shepard,EXPERTS ON EXPERT: Scott Harrison,Podcast,5929458,False
271,Armchair Expert with Dax Shepard,EXPERTS ON EXPERT: Tal Ben-Shahar,Podcast,2123859,False
272,Armchair Expert with Dax Shepard,Edward Norton,Podcast,4776583,False
273,Armchair Expert with Dax Shepard,Ellen DeGeneres,Podcast,1978967,False
274,Armchair Expert with Dax Shepard,Evan Rachel Wood,Podcast,5849931,False
275,Armchair Expert with Dax Shepard,Fred Savage,Podcast,2932543,False
276,Armchair Expert with Dax Shepard,Gwyneth Paltrow,Podcast,5109405,False
277,Armchair Expert with Dax Shepard,Hasan Minhaj,Podcast,5212760,False
278,Armchair Expert with Dax Shepard,Ike Barinholtz,Podcast,7174275,False
279,Armchair Expert with Dax Shepard,Jake Johnson,Podcast,6233964,False
280,Armchair Expert with Dax Shepard,Jason Bateman,Podcast,6926118,False
281,Armchair Expert with Dax Shepard,Jason Mantzoukas,Podcast,7974932,False
282,Armchair Expert with Dax Shepard,Jay Leno,Podcast,5375593,False
283,Armchair Expert with Dax Shepard,Jeff Garlin,Podcast,3528962,False
284,Armchair Expert with Dax Shepard,Jim Gaffigan,Podcast,5840074,False
285,Armchair Expert with Dax Shepard,Jimmy Kimmel,Podcast,6413009,False
286,Armchair Expert with Dax Shepard,Joel McHale,Podcast,5264404,False
287,Armchair Expert with Dax Shepard,Johnny Knoxville,Podcast,5428395,False
288,Armchair Expert with Dax Shepard,Joseph Gordon-Levitt,Podcast,5508864,False
289,Armchair Expert with Dax Shepard,Josh Duhamel,Podcast,4839528,False
290,Armchair Expert with Dax Shepard,Josh Hutcherson,Podcast,7510687,False
291,Armchair Expert with Dax Shepard,Judd Apatow,Podcast,6141152,False
292,Armchair Expert with Dax Shepard,Julia Louis-Dreyfus,Podcast,5001066,False
293,Armchair Expert with Dax Shepard,Justin Long,Podcast,2959267,False
294,Armchair Expert with Dax Shepard,Kaitlin Olson,Podcast,5565395,False
295,Armchair Expert with Dax Shepard,Kathryn Hahn,Podcast,6977027,False
296,Armchair Expert with Dax Shepard,Kristen Bell,Podcast,1167914,False
297,Armchair Expert with Dax Shepard,Kumail Nanjiani,Podcast,5308351,False
298,Armchair Expert with Dax Shepard,LIVE FROM LA: Thomas Middleditch,Podcast,4275498,False
299,Armchair Expert with Dax Shepard,LIVE FROM SANTA FE: David Walton,Podcast,126207,False
300,Armchair Expert with Dax Shepard,LIVE FROM TORONTO: Lil Rel,Podcast,4361319,False
301,Armchair Expert with Dax Shepard,LIVE: David Koechner,Podcast,3981044,False
302,Armchair Expert with Dax Shepard,Lauren Graham,Podcast,5128287,False
303,Armchair Expert with Dax Shepard,Lori Gottlieb,Podcast,776134,False
304,Armchair Expert with Dax Shepard,Mae Whitman,Podcast,6574057,False
305,Armchair Expert with Dax Shepard,Marc Maron,Podcast,539423,False
306,Armchair Expert with Dax Shepard,Michael Peña,Podcast,5236635,False
307,Armchair Expert with Dax Shepard,Mila Kunis,Podcast,7402264,False
308,Armchair Expert with Dax Shepard,Monica Lewinsky,Podcast,4758448,False
309,Armchair Expert with Dax Shepard,Nick Kroll,Podcast,6575356,False
310,Armchair Expert with Dax Shepard,Pete Holmes,Podcast,5836947,False
311,Armchair Expert with Dax Shepard,Pete Wentz,Podcast,6655424,False
312,Armchair Expert with Dax Shepard,Rob McElhenney,Podcast,7100951,False
313,Armchair Expert with Dax Shepard,Ryan Hansen,Podcast,6879908,False
314,Armchair Expert with Dax Shepard,Sam Elliott,Podcast,1498768,False
315,Armchair Expert with Dax Shepard,Sarah Silverman,Podcast,9273352,False
316,Armchair Expert with Dax Shepard,Sean Hayes,Podcast,5348215,False
317,Armchair Expert with Dax Shepard,Seth Green,Podcast,5589376,False
318,Armchair Expert with Dax Shepard,Seth Meyers,Podcast,3848721,False
319,Armchair Expert with Dax Shepard,Seth Rogen,Podcast,7654142,False
320,Armchair Expert with Dax Shepard,Stephen Merchant,Podcast,4627802,False
321,Armchair Expert with Dax Shepard,T.I.,Podcast,2123648,False
322,Armchair Expert with Dax Shepard,The Avett Brothers,Podcast,5927289,False
323,Armchair Expert with Dax Shepard,The Good Place Week: D'Arcy Carden,Podcast,5123895,False
324,Armchair Expert with Dax Shepard,The Good Place Week: Kristen Bell,Podcast,6539258,False
325,Armchair Expert with Dax Shepard,The Good Place Week: Mike Schur,Podcast,5581805,False
326,Armchair Expert with Dax Shepard,The Good Place Week: Ted Danson,Podcast,6302877,False
327,Armchair Expert with Dax Shepard,Tony Hale,Podcast,5794195,False
328,Armchair Expert with Dax Shepard,Wendi McLendon-Covey,Podcast,680448,False
329,Armchair Expert with Dax Shepard,Will Ferrell,Podcast,5319707,False
330,Armchair Expert with Dax Shepard,Will Forte,Podcast,6330059,False
331,Armchair Expert with Dax Shepard,Zach Braff,Podcast,6835574,False
332,Arms and Sleepers,Comedown Horizon,Music,3018,False
333,Ashley O,On A Roll,Music,266749,False
334,Ashley O,Right Where I Belong,Music,7680,False
335,Atlas Bound,Lullaby,Music,472358,False
336,Audrey Hepburn,Moon River (From Breakfast at Tiffany's) [Remastered],Music,5387,False
337,Ava Max,Sweet but Psycho,Music,77226,False
338,Avril Lavigne,Sk8er Boi,Music,1728,False
339,B. Lewis,Strange Things,Music,436026,False
340,BADBADNOTGOOD,Cashmere,Music,2528,True
341,BADBADNOTGOOD,Chompy's Paradise,Music,6849,True
342,BADBADNOTGOOD,Hedron,Music,1110,True
343,BADBADNOTGOOD,Time Moves Slow,Music,2312,False
344,BADBADNOTGOOD,Time Moves Slow (feat. Sam Herring),Music,116343,False
345,BADBADNOTGOOD,Triangle,Music,3520,True
346,BOSCO,Cruel,Music,239189,False
347,BRIDGE,Lord Knows,Music,359608,False
348,BROCKHAMPTON,1997 DIANA,Music,53290,False
349,BROCKHAMPTON,BANK,Music,4522,False
350,BROCKHAMPTON,BLEACH,Music,543441,False
351,BROCKHAMPTON,BOYS,Music,4458,False
352,BROCKHAMPTON,GOLD,Music,62773,False
353,BROCKHAMPTON,GUMMY,Music,2935559,False
354,BROCKHAMPTON,I BEEN BORN AGAIN,Music,65280,False
355,BROCKHAMPTON,JELLO,Music,157228,False
356,BROCKHAMPTON,JOHNNY,Music,108807,False
357,BROCKHAMPTON,NO HALO,Music,5769059,False
358,BROCKHAMPTON,STAR,Music,59274,False
359,BROCKHAMPTON,SWEET,Music,142001,False
360,BROCKHAMPTON,TOKYO,Music,244602,False
361,BROCKHAMPTON,VICTOR ROBERTS,Music,263066,False
362,BROCKHAMPTON,ZIPPER,Music,2321,False
363,BRONCHO,Boys Got to Go,Music,4817,False
364,Bahamas,Waves,Music,265223,False
365,Bakar,Small Town Girl,Music,2734,False
366,Barloe Team,Cool & Calm,Music,42861,False
367,Barneypm,Bartranada,Music,13246,False
368,Barns Courtney,Champion,Music,2132,True
369,Barns Courtney,Fire,Music,219231,True
370,Barns Courtney,Glitter & Gold,Music,213427,True
371,Barns Courtney,Hollow,Music,22821,False
372,Barns Courtney,Never Let You Down,Music,240976,True
373,Baro Sura,LAY U DOWN//SEXY,Music,59477,False
374,Bas,Tribe (with J. Cole),Music,2287,False
375,Bayonne,Spectrolite,Music,236629,False
376,Beach Fossils,Sleep Apnea,Music,593627,False
377,Beak>,Sex Music,Music,4646,False
378,Bee Gees,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Music,305121,False
379,Ben Howard,7 Bottles,Music,140292,False
380,Ben Howard,A Boat To An Island On The Wall,Music,697230,True
381,Ben Howard,A Boat To An Island Pt. 2 / Agatha's Song,Music,247675,True
382,Ben Howard,All Down The Mines (Interlude),Music,46880,True
383,Ben Howard,All Is Now Harmed,Music,210683,True
384,Ben Howard,Black Flies,Music,1446297,True
385,Ben Howard,Conrad,Music,381452,True
386,Ben Howard,Diamonds,Music,4357276,True
387,Ben Howard,Diamonds - Spotify - Rockfeedback Session,Music,118026,False
388,Ben Howard,Empty Corridors - Live,Music,8586,False
389,Ben Howard,End Of The Affair,Music,754100,True
390,Ben Howard,Evergreen,Music,2914259,True
391,Ben Howard,Everything,Music,533626,True
392,Ben Howard,Gracious,Music,773926,True
393,Ben Howard,I Forget Where We Were,Music,796829,True
394,Ben Howard,In Dreams,Music,3357413,True
395,Ben Howard,Keep Your Head Up,Music,543144,True
396,Ben Howard,Murmurations,Music,73351,True
397,Ben Howard,Nica Libres At Dusk,Music,13133930,True
398,Ben Howard,Old Pine,Music,680792,True
399,Ben Howard,Only Love,Music,315623,True
400,Ben Howard,Promise,Music,36309,True
401,Ben Howard,Rivers In Your Mouth,Music,1008931,True
402,Ben Howard,She Treats Me Well,Music,924413,True
403,Ben Howard,Small Things,Music,1604250,True
404,Ben Howard,Someone In The Doorway,Music,241996,True
405,Ben Howard,The Defeat,Music,273868,True
406,Ben Howard,The Fear,Music,479981,True
407,Ben Howard,The Wolves,Music,311459,True
408,Ben Howard,There's Your Man,Music,78529,True
409,Ben Howard,These Waters,Music,70571,False
410,Ben Howard,Time Is Dancing,Music,2313392,True
411,Ben Howard,Towing The Line,Music,829343,True
412,Ben Howard,What The Moon Does,Music,334222,True
413,Ben Khan,ruby,Music,1646963,False
414,Ben Rector,Beautiful,Music,441,False
415,Benjamin Booker,Motivation,Music,56230,False
416,Benny Sings,Straight Lines,Music,144054,False
417,Beowülf,Today Is a Gift,Music,163757,False
418,Berhana,Grey Luh,Music,2453,False
419,Berhana,Wildin',Music,25211,False
420,Bethel Music,Forever,Music,963,False
421,Beyoncé,6 Inch (feat. The Weeknd),Music,821,False
422,Beyoncé,Formation,Music,225674,False
423,Beyoncé,Love Drought,Music,13770,False
424,Beyoncé,MOOD 4 EVA (feat. Oumou Sangaré),Music,2070,False
425,Big Daddy Weave,My Story,Music,534,False
426,Big Data,Dangerous (feat. Joywave),Music,2283839,False
427,Big Sean,10 2 10 - Remix,Music,422212,False
428,Big Sean,Bounce Back,Music,290922,False
429,Big Sean,Marvin & Chardonnay,Music,1151250,False
430,Big Sean,Moves,Music,296504,False
431,Big Sean,Nothing Is Stopping You,Music,2960332,False
432,Big Sean,Paradise - Extended,Music,182151,False
433,Big Sean,Sacrifices,Music,614888,False
434,Big Sean,Single Again,Music,48198,False
435,Big Sean,Switch Up,Music,1068,False
436,Big Wild,Show Me,Music,333256,False
437,Big Words,The Answer,Music,527358,False
438,Bill Evans,The Peacocks - Remastered,Music,26048,False
439,Bill Withers,Lovely Day,Music,1106493,False
440,Billie Eilish,bellyache,Music,179172,False
441,Billie Eilish,idontwannabeyouanymore,Music,198652,False
442,Billie Eilish,my boy,Music,774,False
443,Billy Lemos,12:34 AM,Music,379578,False
444,Bizarre,Justin Bieber (feat. King Gordy),Music,155861,False
445,Black Pumas,Black Moon Rising,Music,7396905,True
446,Black Pumas,Colors,Music,274817,True
447,Black Pumas,Confines,Music,241436,True
448,Black Pumas,Fire,Music,596650,True
449,Black Pumas,Know You Better,Music,323338,True
450,Black Pumas,OCT 33,Music,625945,True
451,Black Pumas,Old Man,Music,337703,True
452,Black Pumas,Stay Gold,Music,208506,True
453,Black Pumas,Sweet Conversations,Music,388891,True
